,SPY,
7/7/2011,$7681.97,
8/7/2011,$7472.69,
9/7/2011,$7472.69,
10/7/2011,$7472.69,
11/7/2011,$6942.95,
12/7/2011,$6881.91,
13/7/2011,$6827.41,
14/7/2011,$6899.35,
15/7/2011,$6905.86,
16/7/2011,$6905.86,
17/7/2011,$6905.86,
18/7/2011,$6773.49,
19/7/2011,$7070.95,
20/7/2011,$7053.83,
21/7/2011,$7447.59,
22/7/2011,$7466.85,
23/7/2011,$7466.85,
24/7/2011,$7466.85,
25/7/2011,$7306.35,
26/7/2011,$7199.35,
27/7/2011,$7040.99,
28/7/2011,$7040.99,
29/7/2011,$7040.99,
30/7/2011,$7040.99,
31/7/2011,$7040.99,
1/8/2011,$7040.99,
2/8/2011,$7040.99,
3/8/2011,$7040.99,
4/8/2011,$7040.99,
5/8/2011,$7040.99,
6/8/2011,$7040.99,
7/8/2011,$7040.99,
8/8/2011,$7040.99,
9/8/2011,$7040.99,
10/8/2011,$7040.99,
11/8/2011,$7040.99,
12/8/2011,$7040.99,
13/8/2011,$7040.99,
14/8/2011,$7040.99,
15/8/2011,$7040.99,
16/8/2011,$7040.99,
17/8/2011,$7040.99,
18/8/2011,$7040.99,
19/8/2011,$7040.99,
20/8/2011,$7040.99,
21/8/2011,$7040.99,
22/8/2011,$7040.99,
23/8/2011,$7040.99,
24/8/2011,$7040.99,
25/8/2011,$7040.99,
26/8/2011,$7040.99,
27/8/2011,$7040.99,
28/8/2011,$7040.99,
29/8/2011,$7040.99,
30/8/2011,$7040.99,
31/8/2011,$7040.99,
1/9/2011,$7040.99,
2/9/2011,$7040.99,
3/9/2011,$7040.99,
4/9/2011,$7040.99,
5/9/2011,$7040.99,
6/9/2011,$7040.99,
7/9/2011,$7040.99,
8/9/2011,$7040.99,
9/9/2011,$7040.99,
10/9/2011,$7040.99,
11/9/2011,$7040.99,
12/9/2011,$7040.99,
13/9/2011,$7040.99,
14/9/2011,$7040.99,
15/9/2011,$7040.99,
16/9/2011,$7040.99,
17/9/2011,$7040.99,
18/9/2011,$7040.99,
19/9/2011,$7040.99,
20/9/2011,$7040.99,
21/9/2011,$7040.99,
22/9/2011,$7040.99,
23/9/2011,$7040.99,
24/9/2011,$7040.99,
25/9/2011,$7040.99,
26/9/2011,$7040.99,
27/9/2011,$7040.99,
28/9/2011,$7040.99,
29/9/2011,$7040.99,
30/9/2011,$7040.99,
1/10/2011,$7040.99,
2/10/2011,$7040.99,
3/10/2011,$7040.99,
4/10/2011,$7040.99,
5/10/2011,$7040.99,
6/10/2011,$7040.99,
7/10/2011,$7040.99,
8/10/2011,$7040.99,
9/10/2011,$7040.99,
10/10/2011,$7485.59,
11/10/2011,$7513.67,
12/10/2011,$7759.37,
13/10/2011,$7703.21,
14/10/2011,$8185.25,
15/10/2011,$8185.25,
16/10/2011,$8185.25,
17/10/2011,$7637.69,
18/10/2011,$8187.59,
19/10/2011,$7848.29,
